description,main_category,sub_category
"Debit Card Purchase, ONLINE PURCHASE 17NOV2024, LYFT 1 RIDE 11-16 BC",Transport,Ride Share
"Debit Card Purchase, ONLINE PURCHASE 17NOV2024, AMAZON HR4CP10Y3 BC",Other,Unknown
"Debit Card Purchase, ONLINE PURCHASE 15NOV2024, AMAZON G89HL6Z03 BC",Other,Unknown
"Debit Card Purchase, COKE_62087767",Food,Coffee/Beverage
"Debit Card Purchase, ONLINE PURCHASE 18NOV2024, STARBUCKS 800-782-728 ON",Food,Coffee/Beverage
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, ONLINE PURCHASE 19NOV2024, UBER EATS ON",Food,Takeout
"Debit Card Purchase, COKE_62087767",Food,Coffee/Beverage
"Debit Card Purchase, ONLINE PURCHASE 20NOV2024, HUNGRYPANDA TECH LTD. BC",Food,Takeout
"Debit Card Purchase, ONLINE PURCHASE 20NOV2024, UBER CANADA/UBEREATS ON",Food,Takeout
"Debit Card Purchase, ADA VENDING MAC",Food,Coffee/Beverage
"Debit Card Purchase, STACKED PANCAKE",Food,Restaurant
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, ONLINE PURCHASE 21NOV2024, UBER EATS ON",Food,Takeout
"Debit Card Purchase, ONLINE PURCHASE 21NOV2024, FANTUAN DELIVERY BC",Food,Takeout
"Debit Card Purchase, KAJUN CHICKEN A",Food,Restaurant
"Debit Card Purchase, JIMMY THE GREEK",Food,Restaurant
"Debit Card Purchase, PUMA TORONTO PR",Other,Unknown
"Debit Card Purchase, NIKE CANADA HAL",Other,Unknown
"Debit Card Purchase, PRESTO SQ1 CCT",Transport,Other
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, CHAT BAR",Food,Restaurant
"Debit Card Purchase, GOA HAIR SALON",Other,Life Style (E.g Barbershop)
"Debit Card Purchase, NATIONS FRESH F",Groceries,Groceries
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, ONLINE PURCHASE 23NOV2024, HONGMALL CA ON",Groceries,Groceries
"Debit Card Purchase, ONLINE PURCHASE 24NOV2024, HUNGRYPANDA TECH LTD. BC",Food,Takeout
"Debit Card Purchase, ONLINE PURCHASE 23NOV2024, FANTUAN DELIVERY BC",Food,Takeout
"Debit Card Purchase, PITA N MORE",Food,Restaurant
"Debit Card Purchase, ONLINE PURCHASE 25NOV2024, LYFT 1 RIDE 11-24 BC",Transport,Ride Share
"Debit Card Purchase, RECURRING PYΜΝΤ 25NOV2024, FANTUAN DELIVERY BC",Food,Takeout
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, CHATIME HAMILTO",Food,Coffee/Beverage
"Debit Card Purchase, BAB KOREAN REST",Food,Restaurant
"Debit Card Purchase, ONLINE PURCHASE 27NOV2024, AMAZON Z37TM3062 BC",Other,Unknown
"Debit Card Purchase, BIG MONKEY WONT",Food,Restaurant
"Debit Card Purchase, CINEPLEX REC R",Entertainment,Other Entertainment
"Debit Card Purchase, J BBQ",Food,Restaurant
"Debit Card Purchase, COKE_62095517",Food,Coffee/Beverage
INTERAC e-Transfer Sent,Other,Transfer
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
INTERAC e-Transfer Sent,Other,Transfer
INTERAC e-Transfer Sent,Other,Transfer
"Debit Card Purchase, COCO FRESH TEA",Food,Coffee/Beverage
"Debit Card Purchase, CHICHOP X NORI",Food,Restaurant
"Debit Card Purchase, ONLINE PURCHASE 1DEC2024, LYFT 6 RIDES 11-30 BC",Transport,Ride Share
"Debit Card Purchase, NATIONS FRESH F",Groceries,Groceries
"Debit Card Purchase, RECURRING PYMNT 3DEC2024, STUDOCUCOM NLD",Other,Subscription
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
INTERAC e-Transfer Sent,Other,Transfer
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, TONDOU RAMEN HA",Food,Restaurant
"Debit Card Purchase, NATIONS FRESH F",Groceries,Groceries
"Debit Card Purchase, ONLINE PURCHASE 40CT2024, HUNGRYPANDA TECH LTD. BC",Food,Takeout
"Debit Card Purchase, ONLINE PURCHASE 50CT2024, LYFT CANCEL FEE BC",Transport,Ride Share
"Debit Card Purchase, STARBUCKS COFFE",Food,Coffee/Beverage
"Debit Card Purchase, PRES/5FC7P4GST5",Groceries,Groceries
"Debit Card Purchase, WEI XIANG YUAN",Food,Restaurant
"Debit Card Purchase, YOGURTYS FROYO",Food,Restaurant
"Debit Card Purchase, PENTA Q ESPORTS",Entertainment,Other Entertainment
"Debit Card Purchase, RECURRING PYMNT 70CT2024, UBER CANADA/UBERONE ON",Transport,Ride Share
"Debit Card Purchase, PENTA Q ESPORTS",Entertainment,Other Entertainment
"Debit Card Purchase, BAB KOREAN REST",Food,Restaurant
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, SH VENDING80036",Food,Coffee/Beverage
"Debit Card Purchase, SH VENDING80036",Food,Coffee/Beverage
"Debit Card Purchase, SH VENDING80036",Food,Coffee/Beverage
"Debit Card Purchase, HARU SHABU SHAB",Food,Restaurant
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, PENTA Q ESPORTS",Entertainment,Other Entertainment
"Debit Card Purchase, RECURRING PYMΝΤ 110CT2024, ΟΡΕΝΑΙ CHATGPT SUBSC CA, 22.60X1.411504424",Entertainment,Subscription
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, BILL'S BAIT T",Other,Pet Stuff
"Debit Card Purchase, BILL'S BAIT T",Other,Pet Stuff
"Debit Card Purchase, PIZZA PIZZA # 1",Food,Restaurant
"Debit Card Purchase, NATIONS FRESH F",Groceries,Groceries
"Debit Card Purchase, VIDA LA PITA",Food,Restaurant
"Debit Card Purchase, PENTA Q ESPORTS",Entertainment,Other Entertainment
"Debit Card Purchase, ONLINE PURCHASE 120CT2024, RIOT AN43VC4GVLYY CA",Entertainment,Other Entertainment
"Debit Card Purchase, PENTA Q ESPORTS",Entertainment,Other Entertainment
"Online Transfer, TF 0006#8878-223",Other,Transfer
"Debit Card Purchase, MAIN BILLIARDS",Entertainment,Other Entertainment
"Debit Card Purchase, VIDA LA PITA",Food,Restaurant
"Debit Card Purchase, NATIONS FRESH F",Groceries,Groceries
"Debit Card Purchase, ONLINE PURCHASE
140CT2024, LYFT CANCEL FEE BC",Transport,Ride Share
"Debit Card Purchase, ONLINE PURCHASE
140CT2024, LYFT 2 RIDES 10-13 BC",Transport,Ride Share
"Debit Card Purchase, HAPPY LAMB Hот",Food,Restaurant
"Debit Card Purchase, UNIQLO CANADA P",Other,Life Style (E.g Barbershop)
"Online Transfer, TF 0006#8878-223",Other,Transfer
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, PRES/5FDPP8S6BL",Other,Unknown
"Debit Card Purchase, PRES/5F50F99WQX",Other,Unknown
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, ONLINE PURCHASE
170CT2024, LYFT 1 RIDE 10-16 BC",Transport,Ride Share
"Debit Card Purchase, QUIK CHIK",Food,Restaurant
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, PENTA Q ESPORTS",Entertainment,Other Entertainment
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, MR. GAO RESTAUR",Food,Restaurant
"Debit Card Purchase, BOARDWALK BURGE",Food,Restaurant
"Debit Card Purchase, QUIK CHIK",Food,Restaurant
"Debit Card Purchase, ONLINE PURCHASE
210CT2024, HUNGRYPANDA TECH LTD. BC",Food,Takeout
"Debit Card Purchase, RECURRING PYΜΝΤ
210CT2024, FIDO MOBILE 826 ON",Bills,Utilities
"Debit Card Purchase, CHICHOP X NORI",Food,Restaurant
"Debit Card Purchase, COCO FRESH TEA",Food,Coffee/Beverage
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, SUBWAY 13152",Food,Restaurant
"Debit Card Purchase, SUBWAY 13152",Food,Takeout
"Debit Card Purchase, YOGURTYS FROYO",Food,Restaurant
"Debit Card Purchase, BOSTON PIZZA #5",Food,Restaurant
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, BAB KOREAN REST",Food,Restaurant
"Debit Card Purchase, SUBWAY 13152",Food,Takeout
"Debit Card Purchase, CHICHOP X NORI",Food,Restaurant
"Debit Card Purchase, COCO FRESH TEA",Food,Coffee/Beverage
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, RECURRING PYMNT
260CT2024, FANTUAN DELIVERY BC",Food,Takeout
"Debit Card Purchase, ONLINE PURCHASE
260CT2024, HUNGRYPANDA TECH LTD. BC",Food,Takeout
"Debit Card Purchase, ONLINE PURCHASE
270CT2024, AMAZON ZI8U91PE3 BC",Other,Other
"Debit Card Purchase, BOARDWALK BURGE",Food,Restaurant
"Debit Card Purchase, ONLINE PURCHASE
28OCT2024, HUNGRYPANDA TECH LTD. BC",Food,Takeout
"Debit Card Purchase, SUBWAY 13152",Food,Takeout
"Debit Card Purchase, CHICHOP X NORI",Food,Restaurant
"Debit Card Purchase, COCO FRESH TEA",Food,Coffee/Beverage
"Online Transfer, TF 0006#8878-223",Other,Transfer
"Debit Card Purchase, STARBUCKS COFFE",Food,Coffee/Beverage
"Debit Card Purchase, ONLINE PURCHASE
290CT2024, HUNGRYPANDA TECH LTD. BC",Food,Takeout
"Debit Card Purchase, ESSO CIRCLE K",Transport,Gas
"Debit Card Purchase, BAB KOREAN REST",Food,Restaurant
"Debit Card Purchase, GRAND LEISURE K",Entertainment,Other Entertainment
"Debit Card Purchase, PRES/5FGHM7KMG5",Groceries,Groceries
"Online Transfer, TF 0006#8878-223",Other,Transfer
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, NATIONS FRESH F",Groceries,Groceries
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, SUBWAY 13152",Food,Takeout
"Wire Payment Fee, HANDLING CHG 353086",Other,Transfer
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, ONLINE PURCHASE 1NOV2024, LYFT 1 RIDE 10-31 BC",Transport,Ride Share
"Debit Card Purchase, ONLINE PURCHASE 2NOV2024, HUNGRYPANDA TECH LTD. BC",Food,Takeout
"Debit Card Purchase, ONLINE PURCHASE 1NOV2024, HUNGRYPANDA TECH LTD. BC",Food,Takeout
"Debit Card Purchase, MSU- ACCOUNTING",Other,Unknown
"Debit Card Purchase, BOARDWALK BURGE",Food,Restaurant
INTERAC e-Transfer Sent,Other,Transfer
"Debit Card Purchase, ESSO CIRCLE K",Transport,Gas
"Debit Card Purchase, NATIONS FRESH F",Groceries,Groceries
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
INTERAC e-Transfer Sent,Other,Transfer
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, NATIONS FRESH F",Groceries,Groceries
"Debit Card Purchase, RECURRING PYMNT 7SEP2024, UBER CANADA/UBERONE ON",Transport,Ride Share
"Debit Card Purchase, ONLINE PURCHASE 6SEP2024, HUNGRYPANDA TECH LTD. BC",Food,Takeout
"Debit Card Purchase, QUIK CHIK",Food,Restaurant
"Debit Card Purchase, MAIN BILLIARDS",Entertainment,Other Entertainment
"Debit Card Purchase, PRES/5F73PGN9JN",Other,Unknown
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, COKE_62087767",Food,Coffee/Beverage
"Debit Card Purchase, ONLINE PURCHASE 10SEP2024, LYFT 1 RIDE 09-09 BC",Transport,Ride Share
"Debit Card Purchase, RECURRING PYMNT 11SEP2024, ΟΡΕΝΑΙ CHATGPT SUBSC CA, 22.60X1.396017699",Entertainment,Subscription
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, COKE_62087854",Food,Coffee/Beverage
"Debit Card Purchase, ONLINE PURCHASE 11SEP2024, LYFT 1 RIDE 09-10 BC",Transport,Ride Share
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, NATIONS FRESH F",Groceries,Groceries
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, YOGURTYS FROYO",Food,Restaurant
"Debit Card Purchase, FORTINOS",Groceries,Groceries
"Debit Card Purchase, PITA N MORE",Food,Restaurant
"Debit Card Purchase, TIM HORTONS #11",Food,Coffee/Beverage
"Debit Card Purchase, KAJUN CHICKEN A",Food,Restaurant
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, CHICHOP X NORI",Food,Restaurant
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, YOGURTYS FROYO",Food,Restaurant
"Debit Card Purchase, ONLINE PURCHASE 14SEP2024, LYFT 1 RIDE 09-13 BC",Transport,Ride Share
"Debit Card Purchase, RECURRING PYMΝΤ 14SEP2024, FIDO MOBILE 826 ON",Bills,Utilities
"Debit Card Purchase, PENTA Q ESPORTS",Entertainment,Subscription
"Debit Card Purchase, PENTA Q ESPORTS",Entertainment,Subscription
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Online Transfer, TF 0006#8878-223",Other,Transfer
"Debit Card Purchase, BAB KOREAN REST",Food,Restaurant
"Debit Card Purchase, ONLINE PURCHASE 18SEP2024, LYFT 1 RIDE 09-17 BC",Transport,Ride Share
"Online Transfer, TF 0006#8878-223",Other,Transfer
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, VIDA LA PITA",Food,Restaurant
"Debit Card Purchase, NATIONS FRESH F",Groceries,Groceries
INTERAC e-Transfer Sent,Other,Transfer
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, ONLINE PURCHASE 22SEP2024, AMZN MKTP CA LM3725M7 ON",Other,Unknown
"Debit Card Purchase, ONLINE PURCHASE 21SEP2024, HUNGRYPANDA TECH LTD. BC",Food,Takeout
"Debit Card Purchase, ONLINE PURCHASE 22SEP2024, AMZN MKTP CA MR7RG6DR ON",Other,Unknown
"Debit Card Purchase, ONLINE PURCHASE 21SEP2024, UBER CANADA/UBEREATS ON",Food,Takeout
"Wire Payment Fee, HANDLING CHG 614607",Other,Unknown
"Online Transfer, TF 0006#8878-223",Other,Transfer
"Online Bill Payment, MCMASTER ACCT",Bills,Utilities
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, ONLINE PURCHASE 24SEP2024, HUNGRYPANDA TECH LTD. BC",Food,Takeout
"Debit Card Purchase, ONLINE PURCHASE 24SEP2024, LYFT 1 RIDE 09-23 BC",Transport,Ride Share
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, QUIK CHIK",Food,Restaurant
"Online Bill Payment, MCMASTER ACCT",Bills,Utilities
"Debit Card Purchase, BAB KOREAN REST",Food,Restaurant
"Debit Card Purchase, ONLINE PURCHASE 25SEP2024, REEF EDUCATION VA, 39.54X1.388467374",Other,Subscription
"Debit Card Purchase, PRES/5F25F1FTR8",Other,Unknown
"Debit Card Purchase, TONDOU RAMEN HA",Food,Restaurant
"Debit Card Purchase, NATIONS FRESH F",Groceries,Groceries
"Debit Card Purchase, ONLINE PURCHASE 27SEP2024, RIOT AN42ZKOVEREF CA",Entertainment,Subscription
"Debit Card Purchase, RECURRING PYMΝΤ 26SEP2024, FANTUAN DELIVERY BC",Food,Takeout
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, OLIVIA HAIR SHO",Other,Life Style (E.g Barbershop)
"Debit Card Purchase, SQ *INDONESIAN'",Food,Restaurant
"Debit Card Purchase, DOLLARAMA # 357",Groceries,Home Supplies
"Debit Card Purchase, SHOPPERS DRUG M",Groceries,Home Supplies
"Debit Card Purchase, ONLINE PURCHASE 28SEP2024, LYFT 1 RIDE 09-27 BC",Transport,Ride Share
"Debit Card Purchase, ONLINE PURCHASE 29SEP2024, HUNGRYPANDA TECH LTD. BC",Food,Takeout
"Online Bill Payment, MCMASTER ACCT",Bills,Utilities
"Debit Card Purchase, CHICHOP X NORI",Food,Restaurant
"Debit Card Purchase, COCO FRESH TEA",Food,Coffee/Beverage
"Debit Card Purchase, YOGURTYS FROYO",Food,Restaurant
"Debit Card Purchase, PENTA Q ESPORTS",Entertainment,Other Entertainment
"Debit Card Purchase, ONLINE PURCHASE 1OCT2024, RIOT AN447VH2H2KK CA",Entertainment,Subscription
"Debit Card Purchase, ONLINE PURCHASE 1OCT2024, RIOT AN4MPECCF3LA CA",Entertainment,Subscription
"Debit Card Purchase, MAC - ATHLETICS",Entertainment,Physical Activity
"Debit Card Purchase, MOBIL MAIN STRE",Transport,Gas
"Debit Card Purchase, THE ARCH NOODLE",Food,Restaurant
"Debit Card Purchase, PENTA Q ESPORTS",Entertainment,Other Entertainment
